Particulars,Note,FY2024,FY2023,FY2022
Property Plant and Equipment,4,485.50,440.20,395.00
Capital Work-in-Progress,4,35.80,42.10,28.40
Goodwill,5,120.00,120.00,85.00
Other Intangible Assets,5,65.40,58.90,44.30
Right-of-Use Assets,6,145.20,132.80,110.50
Non-Current Investments,7,180.60,155.00,130.20
Other Non-Current Financial Assets,8,42.10,38.40,32.00
Deferred Tax Assets (Net),9,52.30,44.50,38.20
Other Non-Current Assets,10,28.50,22.10,19.40
Total Non-Current Assets,,1155.40,1054.00,883.00
Inventories,11,85.40,74.20,62.00
Trade Receivables,12,620.50,510.80,435.20
Cash and Cash Equivalents,13,310.20,245.60,185.40
Other Bank Balances,14,95.00,80.00,65.00
Current Investments,15,210.00,175.50,140.00
Other Current Financial Assets,16,145.80,120.30,95.50
Other Current Assets,17,68.70,54.10,42.90
Total Current Assets,,1535.60,1260.50,1026.00
TOTAL ASSETS,,2691.00,2314.50,1909.00
Equity Share Capital,18,120.00,120.00,120.00
Other Equity,19,1545.30,1312.10,1062.80
Minority Interest,,24.50,20.20,16.40
Total Equity,,1689.80,1452.30,1199.20
Long-Term Borrowings,20,180.00,210.00,195.00
Lease Liabilities - Non Current,21,115.40,105.20,88.60
Long-Term Provisions,22,45.20,39.80,33.50
Total Non-Current Liabilities,,371.20,380.40,335.30
Short-Term Borrowings,24,95.00,85.00,72.00
Lease Liabilities - Current,21,38.60,32.40,26.50
Trade Payables,25,315.80,248.60,194.20
Other Current Financial Liabilities,26,82.40,62.10,41.80
Short-Term Provisions,27,32.20,25.80,21.00
Current Tax Liabilities (Net),,24.00,18.50,12.50
Other Current Liabilities,28,42.00,9.40,6.50
Total Current Liabilities,,630.00,481.80,374.50
Total Liabilities,,1001.20,862.20,709.80
TOTAL EQUITY AND LIABILITIES,,2691.00,2314.50,1909.00
